,Energy Deposited,SiPM Hits,Photons,x_pos,y_pos,z_pos,LCE,log(LCE),Distance
83097,0.528669,6,4220,0.3378791338582678,0.1582704724409449,4.139450787401575,0.0014218009478672985,-6.5558309378020025,4.156232028275492
83106,0.469024,2,3735,0.2510956692913386,0.15783188976377954,7.909728346456694,0.000535475234270415,-7.5323559170069725,7.915286631278985
83110,0.483375,3,3798,0.5035157480314961,0.25106968503937005,7.99476377952756,0.0007898894154818325,-7.143617602704121,8.014537540351737
83113,0.47643900000000006,12,3838,0.2941051181102362,-0.3059043307086614,4.752385826771654,0.003126628452318916,-5.7678000267796445,4.771293988693743
83116,0.474862,7,3774,0.05161377952755905,0.016801653543307087,4.8490866141732285,0.0018547959724430313,-6.289980576873182,4.849390401849792
83125,0.5203909999999999,162,4265,0.30633307086614175,-0.25430590551181104,0.8379566929133857,0.03798358733880422,-3.2706011246933953,0.9277299515930274
83126,0.47814799999999996,61,3855,0.5409409448818898,-0.35723425196850395,1.1884409448818896,0.01582360570687419,-4.146252421824118,1.3537449154478722
83129,0.489587,188,3814,-0.1132492125984252,-0.2575633858267717,0.9837165354330705,0.04929208180388044,-3.0099918233304153,1.0231629899273904
83133,0.455625,1,3663,0.3722066929133859,-0.14547047244094488,7.117704724409449,0.000273000273000273,-8.206037762778815,7.12891436506866
83136,0.573962,6,4555,0.4437283464566929,0.03900468503937008,3.7130783464566925,0.0013172338090010978,-6.632221340466003,3.7397014610567214
83142,0.47822299999999995,73,3849,0.10315748031496064,0.4836732283464567,2.024216535433071,0.018965965185762535,-3.965109212135355,2.0837547456177945
83144,0.47784,5,3781,0.2111240157480315,-0.22881141732283464,6.870885826771654,0.0013224014810896587,-6.628305891456833,6.877935741140248
83161,0.498169,10,3860,-0.13915472440944884,0.36643661417322837,4.657074803149606,0.0025906735751295338,-5.955837369464831,4.673541007808015
83166,0.47986999999999996,51,3869,0.1091283464566929,0.37087401574803147,2.1277125984251968,0.013181700697854742,-4.328925721976187,2.1625488279007126
83172,0.466504,10,3803,-0.014366377952755907,-0.1734767716535433,3.9917529527559057,0.0026295030239284773,-5.940960414934214,3.995546548215189
83175,0.47369799999999995,3,3868,-0.10248425196850394,0.5449645669291339,5.819173228346457,0.0007755946225439503,-7.161880567905075,5.845533890297269
83176,0.47437799999999997,12,3743,-0.05820393700787402,0.3781531496062992,0.3410826771653543,0.0032059845044082286,-5.742736058116429,0.512566966846934
83181,0.464678,18,3778,0.16548858267716535,-0.26833070866141734,3.6333893700787403,0.004764425622022234,-5.34657829016529,3.6470407393952184
83192,0.476207,115,3746,-0.09966102362204725,-0.5386889763779528,1.994543307086614,0.030699412706887346,-3.4835117546407837,2.068410292167521
83194,0.47606000000000004,54,3799,0.09430551181102362,0.5046456692913386,1.7833188976377952,0.014214266912345353,-4.253509106623351,1.8557443443978276
83198,0.45711499999999994,66,3729,0.4685393700787402,-0.316494094488189,1.5091850393700785,0.017699115044247787,-4.034240638152395,1.6116256191244127
83211,0.47039,2,3772,0.5231456692913387,-0.04261535433070866,7.842677165354331,0.0005302226935312832,-7.542213463193403,7.860221535026431
83216,0.450103,22,3649,0.5839409448818899,0.15261692913385827,4.579051181102362,0.006029049054535489,-5.1111659830781315,4.618656587507101
83219,0.52644,5,4278,-0.27465984251968506,-0.024880826771653545,5.2941850393700784,0.0011687704534829358,-6.751802977208251,5.301363250685972
83221,0.493838,5,3874,0.14593070866141733,-0.1676818897637795,5.071173228346456,0.0012906556530717604,-6.65260493153284,5.0760428386473455
83222,0.46395,4,3854,-0.20144015748031496,-0.15751181102362205,5.581610236220472,0.0010378827192527244,-6.870572487854421,5.587464625099544
83230,0.473682,27,3750,0.24494291338582677,0.5682874015748032,4.330739763779528,0.0072,-4.933674252960127,4.374729077690153
